Date,Expiry,Open,High,Low,Close,Settle Price,No. of Con,Turnover(Lacs),OI,OI Change,Underlying,Prev Close HDFCBANK,Open Price HDFCBANK,High Price HDFCBANK,Low Price HDFCBANK,Last Price HDFCBANK,Close Price HDFCBANK,Average Price HDFCBANK,Total Traded Quantity HDFCBANK,Turnover HDFCBANK,No. of Trades HDFCBANK,Deliverable Qty HDFCBANK,% Dly Qt to Traded Qty HDFCBANK,Prev Close ICICIBANK,Open Price ICICIBANK,High Price ICICIBANK,Low Price ICICIBANK,Last Price ICICIBANK,Close Price ICICIBANK,Average Price ICICIBANK,Total Traded Quantity ICICIBANK,Turnover ICICIBANK,No. of Trades ICICIBANK,Deliverable Qty ICICIBANK,% Dly Qt to Traded Qty ICICIBANK,Prev Close AXISBANK,Open Price AXISBANK,High Price AXISBANK,Low Price AXISBANK,Last Price AXISBANK,Close Price AXISBANK,Average Price AXISBANK,Total Traded Quantity AXISBANK,Turnover AXISBANK,No. of Trades AXISBANK,Deliverable Qty AXISBANK,% Dly Qt to Traded Qty AXISBANK,Prev Close KOTAKBANK,Open Price KOTAKBANK,High Price KOTAKBANK,Low Price KOTAKBANK,Last Price KOTAKBANK,Close Price KOTAKBANK,Average Price KOTAKBANK,Total Traded Quantity KOTAKBANK,Turnover KOTAKBANK,No. of Trades KOTAKBANK,Deliverable Qty KOTAKBANK,% Dly Qt to Traded Qty KOTAKBANK,Prev Close SBIN,Open Price SBIN,High Price SBIN,Low Price SBIN,Last Price SBIN,Close Price SBIN,Average Price SBIN,Total Traded Quantity SBIN,Turnover SBIN,No. of Trades SBIN,Deliverable Qty SBIN,% Dly Qt to Traded Qty SBIN
09-Jul-15,30-Jul-15,18538.4,18650,18436,18566.75,18566.75,100853,467671.3,1612850,-65600,18508.7,1068.85,1062.7,1076.9,1060.1,1073.9,1074.05,1069.57,699491,748155739.1,24198,330788,47.29,307.55,307,310.95,305.7,310.2,309.5,309.01,6326679,1955037112,75233,3152127,49.82,576.65,575.85,577.4,566.4,572.65,571.7,572.13,3602432,2061068952,67183,1594984,44.28,707.1,711,720,701.1,706.75,705.2,708.74,779560,552509218.3,17296,191154,24.52,267.35,267,271.3,267,268,267.75,269.06,6469504,1740686585,57699,1536301,23.75
10-Jul-15,30-Jul-15,18629,18839.6,18581,18801.35,18801.35,124120,580361.63,1674750,61900,18719.8,1074.05,1069.8,1095,1068.5,1089,1090.75,1085.73,1225022,1330048516,21668,592202,48.34,309.5,312.5,314.9,310.25,312.7,313.15,312.55,9694687,3030041814,73936,4932830,50.88,571.7,574.2,583,570.8,575.35,578.1,575.51,6853759,3944394549,101248,4691874,68.46,705.2,707,711.5,696.7,711,709.4,704.24,1384925,975318953.4,22914,688698,49.73,267.75,270.25,271,266.25,270.45,270.55,269.42,8788162,2367748683,77565,2731650,31.08
13-Jul-15,30-Jul-15,18822,19019.75,18701,18974.35,18974.35,130039,613313.23,1736975,62225,18893.55,1090.75,1085,1105.9,1085,1095.15,1096.15,1096.31,1769021,1939401022,26016,1108367,62.65,313.15,314.5,317.2,312.8,316.5,316.4,315.27,8149161,2569147948,72277,4189586,51.41,578.1,578.1,583.45,570.15,582.3,581.95,578.96,5161182,2988095149,70120,2744895,53.18,709.4,712.9,717.8,703,715.15,715,710.81,955100,678898784.7,17967,463875,48.57,270.55,272,274.35,267.9,273.5,273.7,271.57,8423083,2287470605,80546,2023632,24.02
14-Jul-15,30-Jul-15,18939,19008.7,18801,18838.05,18838.05,118282,558868.84,1735175,-1800,18780.2,1096.15,1095.5,1101.9,1086,1088.5,1091.85,1093.57,1418529,1551256071,18506,620224,43.72,316.4,317,317.1,312.05,312.7,313.45,314.6,7549889,2375184696,46422,4107084,54.4,581.95,582.6,587.65,578.9,582.7,583.9,583.72,4566647,2665636320,60309,2378931,52.09,715,714.95,715.25,704,710,710.7,708.81,1172753,831263901.8,19086,528290,45.05,273.7,273.6,273.6,267.15,268.05,268.2,270.43,10337307,2795541482,93984,4931598,47.71
15-Jul-15,30-Jul-15,18858,18960,18819.75,18880.45,18880.45,89276,421796.03,1721075,-14100,18816.25,1091.85,1093,1101.45,1090.8,1096,1096.7,1097.42,962351,1056103664,15083,542265,56.35,313.45,313.9,316,313.35,315,314.65,314.72,6707357,2110915613,69412,4099261,61.12,583.9,584.55,589.45,581.5,584.55,584,586.11,3307716,1938682714,74655,1555651,47.03,710.7,710.95,715,707.5,713.7,712.3,711.95,893968,636464390.6,31905,528548,59.12,268.2,268.75,271.7,267.15,268.6,268.05,269.25,7483918,2015037100,59970,2971179,39.7
16-Jul-15,30-Jul-15,18937.45,19250,18886.35,19230.45,19230.45,141155,674551.29,1876150,155075,19168.05,1096.7,1098.8,1119,1098.1,1116.1,1114.7,1110.59,1827606,2029713889,32141,1036432,56.71,314.65,314.75,318.25,314.4,316.9,317.1,316.71,12242640,3877318700,115665,7651496,62.5,584,587.4,613.45,587,608.3,608.65,604.5,14142842,8549337829,214981,6787455,47.99,712.3,713.95,743,712.2,742,741.25,732.48,2218833,1625240736,41044,1102877,49.71,268.05,269.75,272.75,268.1,272.4,272.2,270.46,8354120,2259433446,59028,3063941,36.68
17-Jul-15,30-Jul-15,19150,19280,19102.5,19148.35,19148.35,90798,435383.43,1874600,-1550,19094.7,1114.7,1119.4,1121.75,1105.6,1113.55,1110.55,1111.09,877747,975257408,16897,475549,54.18,317.1,318,321,316.55,317.1,317.45,318.88,8490636,2707510904,80980,4743411,55.87,608.65,604.5,609.9,598.5,601,602.1,604.5,5847889,3535044103,101973,2004433,34.28,741.25,737,738,727.15,734.05,733.15,732.61,1157806,848222847.1,22515,401592,34.69,272.2,272.4,274,270.5,271.65,271.1,271.97,5571891,1515366175,49465,1807521,32.44
20-Jul-15,30-Jul-15,19149.6,19190,18876,19089.6,19089.6,120628,573970.62,1747500,-127100,19032.7,1110.55,1115.95,1119,1107,1115,1115.25,1112.51,1137817,1265827327,15139,718055,63.11,317.45,318.95,319.8,312.1,315.6,315.8,315.36,8563731,2700651684,84841,4966775,58,602.1,600,603.4,590.3,599.85,599.9,596.31,4688323,2795672103,91933,1610530,34.35,733.15,735.2,740,725.1,737.1,736.6,732.08,823832,603108888.2,13941,263625,32,271.1,272,272,266.15,267.1,267.45,267.96,6418930,1720017974,53325,2280831,35.53
21-Jul-15,30-Jul-15,19075,19148,18735.85,18765.25,18765.25,123402,584494.41,1763175,15675,18723.4,1115.25,1116.55,1128,1093.1,1094.9,1098.05,1111.98,2757034,3065753642,59016,959490,34.8,315.8,317.5,317.5,310.4,312.6,311.45,314.13,9729330,3056239123,94879,6749466,69.37,599.9,596.6,601,582.75,584.8,584.65,592.53,4375934,2592892527,91540,1839434,42.04,736.6,735,744.8,718,720,720.65,731.62,968228,708375266.8,14779,405094,41.84,267.45,267,269.8,263.5,264.5,264.3,266.69,5638653,1503769320,50543,1795517,31.84
22-Jul-15,30-Jul-15,18725,19114.2,18661,19056.8,19056.8,137627,650860.06,1816500,53325,18997,1098.05,1096.4,1117.05,1088.65,1113.5,1114.4,1109.12,1821600,2020380531,29751,1165326,63.97,311.45,310.8,317.7,309.8,317.55,316.8,314.17,10128791,3182211225,103630,6715363,66.3,584.65,582.85,593.5,579,589.5,589.85,587.74,5900119,3467724499,125082,3360198,56.95,720.65,719.1,733.7,717.5,729.9,728.65,726.18,657798,477679992.5,11386,226516,34.44,264.3,263.7,269.4,261.9,268.75,268.55,265.52,11322177,3006308527,83774,6315769,55.78
