Date,Symbol,Expiry,Open,High,Low,Close,LTP,Settlement Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2003-10-31,TISCO,2004-01-29,0.0,0.0,0.0,352.7,0.0,362.5,0,0.0,0,0,357.85
2003-11-03,TISCO,2004-01-29,0.0,0.0,0.0,352.7,0.0,382.55,0,0.0,0,0,377.95
2003-11-04,TISCO,2004-01-29,0.0,0.0,0.0,352.7,0.0,376.25,0,0.0,0,0,371.7
2003-11-05,TISCO,2004-01-29,375.55,375.55,375.55,375.55,375.55,372.85,1,676000.0,1800,1800,368.4
2003-11-06,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,379.45,0,0.0,1800,0,375.1
2003-11-07,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,370.9,0,0.0,1800,0,366.7
2003-11-10,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,373.3,0,0.0,1800,0,369.2
2003-11-11,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,369.65,0,0.0,1800,0,365.65
2003-11-12,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,368.7,0,0.0,1800,0,364.75
2003-11-13,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,361.0,0,0.0,1800,0,357.2
2003-11-14,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,355.2,0,0.0,1800,0,351.5
2003-11-15,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,357.2,0,0.0,1800,0,353.55
2003-11-17,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,369.55,0,0.0,1800,0,365.9
2003-11-18,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,358.85,0,0.0,1800,0,355.35
2003-11-19,TISCO,2004-01-29,0.0,0.0,0.0,375.55,375.55,348.45,0,0.0,1800,0,345.1
2003-11-20,TISCO,2004-01-29,351.0,351.0,345.0,345.0,345.0,339.9,4,2506000.0,9000,7200,336.65
2003-11-21,TISCO,2004-01-29,342.1,342.25,341.25,342.25,342.25,347.25,5,3076000.0,18000,9000,344.0
2003-11-24,TISCO,2004-01-29,352.0,357.0,350.3,357.0,357.0,351.4,7,4442000.0,23400,5400,348.25
2003-11-25,TISCO,2004-01-29,355.55,357.0,355.55,356.5,356.5,355.0,4,2566000.0,23400,0,351.9
2003-11-27,TISCO,2004-01-29,361.0,366.0,360.05,360.6,360.05,360.6,12,7848000.0,36000,12600,353.5
2003-11-28,TISCO,2004-01-29,366.05,371.0,365.0,369.9,369.9,364.0,21,13893000.0,50400,14400,360.9
2003-12-01,TISCO,2004-01-29,371.0,377.0,370.9,377.0,377.0,377.0,23,15440000.0,63000,12600,369.65
2003-12-02,TISCO,2004-01-29,381.0,381.0,373.0,376.0,376.0,376.0,7,4757000.0,64800,1800,369.7
2003-12-03,TISCO,2004-01-29,376.6,377.75,372.25,374.1,373.5,374.1,14,9453000.0,73800,9000,367.4
2003-12-04,TISCO,2004-01-29,372.8,375.0,367.5,375.0,375.0,375.0,22,14706000.0,68400,-5400,367.2
2003-12-05,TISCO,2004-01-29,378.0,378.05,359.0,360.35,361.1,360.35,38,25005000.0,118800,50400,355.15
2003-12-08,TISCO,2004-01-29,359.0,371.0,358.5,367.35,369.5,367.35,74,48230000.0,135000,16200,360.7
2003-12-09,TISCO,2004-01-29,370.1,371.95,368.25,371.25,371.5,371.25,45,29958999.999999996,163800,28800,364.25
2003-12-10,TISCO,2004-01-29,370.9,377.5,368.75,370.9,373.0,370.9,147,98840000.0,255600,91800,366.35
2003-12-11,TISCO,2004-01-29,374.0,376.0,369.0,371.65,371.0,371.65,70,46882000.0,289800,34200,366.05
2003-12-12,TISCO,2004-01-29,373.45,386.0,367.0,383.65,385.35,383.65,233,157555000.0,345600,55800,377.75
2003-12-15,TISCO,2004-01-29,389.0,398.0,387.95,396.65,396.5,396.65,424,300353000.0,457200,0,391.9
2003-12-16,TISCO,2004-01-29,392.0,395.25,387.05,391.4,390.15,391.4,723,509239000.00000006,959400,502200,387.2
2003-12-17,TISCO,2004-01-29,391.0,393.0,386.0,388.05,388.7,388.05,973,682591000.0,1834200,874800,383.95
2003-12-18,TISCO,2004-01-29,390.0,402.8,388.6,400.95,401.3,400.95,1646,1180275000.0,2894400,1060200,396.3
2003-12-19,TISCO,2004-01-29,401.7,407.0,397.4,400.65,401.0,400.65,1901,1374121000.0,4269600,1375200,395.8
2003-12-22,TISCO,2004-01-29,403.0,409.4,400.1,407.8,407.6,407.8,3398,2478037000.0,7111800,2842200,401.35
2003-12-23,TISCO,2004-01-29,407.9,409.0,398.7,400.85,402.9,400.85,3589,2610722000.0,9581400,2469600,395.45
2003-12-24,TISCO,2004-01-29,402.0,417.0,399.0,416.1,416.45,416.1,7280,5375166000.0,11754000,2172600,411.05
2003-12-26,TISCO,2004-01-29,417.95,431.7,417.15,430.15,431.45,430.15,8200,6296824000.0,12112200,358200,423.9
2003-12-29,TISCO,2004-01-29,431.8,448.4,431.5,445.55,448.15,445.55,8013,6348853000.0,12263400,151200,439.8
2003-12-30,TISCO,2004-01-29,449.4,449.9,432.3,436.15,435.0,436.15,9958,7914333000.0,12259800,-3600,430.7
2003-12-31,TISCO,2004-01-29,440.9,450.65,435.35,448.2,449.0,448.2,12934,10343022000.0,12648600,388800,443.3
2004-01-01,TISCO,2004-01-29,449.25,454.65,449.15,452.35,451.25,452.35,6888,5610476000.0,12618000,-30600,446.05
2004-01-02,TISCO,2004-01-29,454.0,462.0,454.0,457.3,458.0,457.3,6774,5596961000.0,13023000,405000,450.65
2004-01-05,TISCO,2004-01-29,455.8,460.0,443.0,449.7,448.5,449.7,9219,7463348000.0,14335200,1312200,441.45
2004-01-06,TISCO,2004-01-29,450.5,455.5,433.35,437.35,435.95,437.35,9860,7941602000.0,14511600,176400,431.55
2004-01-07,TISCO,2004-01-29,437.0,451.25,431.25,448.8,450.0,448.8,12381,9819047000.0,13845600,-666000,441.65
2004-01-08,TISCO,2004-01-29,451.7,457.4,451.1,455.4,455.0,455.4,6873,5621703000.0,13739400,-106200,446.75
2004-01-09,TISCO,2004-01-29,455.5,461.8,443.55,447.75,446.0,447.75,11133,9067916000.0,13960800,221400,441.95
2004-01-12,TISCO,2004-01-29,444.85,451.4,437.65,448.75,446.0,448.75,9596,7673774000.000001,13521600,-439200,444.0
2004-01-13,TISCO,2004-01-29,448.6,457.7,442.25,456.25,456.55,456.25,7545,6112414000.0,13458600,-63000,449.1
2004-01-14,TISCO,2004-01-29,457.0,467.25,456.4,463.35,463.0,463.35,8990,7503907000.000001,13663800,205200,456.35
2004-01-15,TISCO,2004-01-29,464.85,471.85,445.5,450.15,445.95,450.15,10129,8428966000.0,13546800,-117000,444.8
2004-01-16,TISCO,2004-01-29,445.6,447.9,437.65,439.65,438.2,439.65,8995,7158078999.999999,13132800,-414000,436.6
2004-01-19,TISCO,2004-01-29,440.0,461.5,428.95,458.5,460.75,458.5,12594,10112403000.0,13080600,-52200,455.7
2004-01-20,TISCO,2004-01-29,461.9,465.4,433.1,442.25,433.5,442.25,14288,11694013000.0,12207600,-873000,441.2
2004-01-21,TISCO,2004-01-29,441.0,448.0,414.0,418.5,421.5,418.5,11637,9094255000.0,10978200,-1229400,417.55
2004-01-22,TISCO,2004-01-29,424.2,431.5,388.0,396.5,397.0,396.5,15682,11708716000.0,10285200,-693000,395.7
2004-01-23,TISCO,2004-01-29,399.4,431.3,399.4,427.9,430.15,427.9,11511,8620474000.0,9415800,-869400,425.75
2004-01-27,TISCO,2004-01-29,433.5,447.0,426.6,445.25,445.1,445.25,8906,7035273000.0,7228800,-2187000,443.5
2004-01-28,TISCO,2004-01-29,443.9,454.3,430.0,436.25,440.9,436.25,13028,10410747000.0,4867200,-2361600,434.9
2004-01-29,TISCO,2004-01-29,442.0,444.85,429.15,433.45,431.0,431.0,8991,7098262000.0,2088000,-2779200,431.0
2003-11-28,TISCO,2004-02-26,370.1,370.1,370.1,370.1,370.1,365.35,1,666000.0,1800,1800,360.9
2003-12-01,TISCO,2004-02-26,374.0,374.0,374.0,374.0,374.0,374.05,1,673000.0,0,-1800,369.65
2003-12-02,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,374.05,0,0.0,0,0,369.7
2003-12-03,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,371.65,0,0.0,0,0,367.4
2003-12-04,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,371.4,0,0.0,0,0,367.2
2003-12-05,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,359.2,0,0.0,0,0,355.15
2003-12-08,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,364.65,0,0.0,0,0,360.7
2003-12-09,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,368.2,0,0.0,0,0,364.25
2003-12-10,TISCO,2004-02-26,0.0,0.0,0.0,374.0,374.0,370.25,0,0.0,0,0,366.35
